mAP
Approaches,CIFAR-10,-,-,-,NUS,-,-,-,MIR,-,-,-
 ,12,24,32,48,12,24,32,48,12,24,32,48
DSH_CVPR_2016_Caffe,0.7851,-,-,-,0.5849,-,-,-,-,-,-,-
SSDH-PAMI,-,-,-,-,-,-,-,-,-,-,-,-
ITQ,-,-,-,-,-,-,-,-,-,-,-,-
SpH,-,-,-,-,-,-,-,-,-,-,-,-
MLH,-,-,-,-,-,-,-,-,-,-,-,-
 
prec@0
Approaches,CIFAR-10,-,-,-,NUS,-,-,-,MIR,-,-,-
 ,12,24,32,48,12,24,32,48,12,24,32,48
DSH_CVPR_2016_Caffe,0.7753,-,-,-,0.62,-,-,-,-,-,-,-
SSDH-PAMI,-,-,-,-,-,-,-,-,-,-,-,-
ITQ,-,-,-,-,-,-,-,-,-,-,-,-
SpH,-,-,-,-,-,-,-,-,-,-,-,-
MLH,-,-,-,-,-,-,-,-,-,-,-,-
 
rec@0
Approaches,CIFAR-10,-,-,-,NUS,-,-,-,MIR,-,-,-
 ,12,24,32,48,12,24,32,48,12,24,32,48
DSH_CVPR_2016_Caffe,0.4495,-,-,-,0.3143,-,-,-,-,-,-,-
SSDH-PAMI,-,-,-,-,-,-,-,-,-,-,-,-
ITQ,-,-,-,-,-,-,-,-,-,-,-,-
SpH,-,-,-,-,-,-,-,-,-,-,-,-
MLH,-,-,-,-,-,-,-,-,-,-,-,-
 
prec@1
Approaches,CIFAR-10,-,-,-,NUS,-,-,-,MIR,-,-,-
 ,12,24,32,48,12,24,32,48,12,24,32,48
DSH_CVPR_2016_Caffe,0.7789,-,-,-,0.622,-,-,-,-,-,-,-
SSDH-PAMI,-,-,-,-,-,-,-,-,-,-,-,-
ITQ,-,-,-,-,-,-,-,-,-,-,-,-
SpH,-,-,-,-,-,-,-,-,-,-,-,-
MLH,-,-,-,-,-,-,-,-,-,-,-,-
 
rec@1
Approaches,CIFAR-10,-,-,-,NUS,-,-,-,MIR,-,-,-
 ,12,24,32,48,12,24,32,48,12,24,32,48
DSH_CVPR_2016_Caffe,0.6214,-,-,-,0.3843,-,-,-,-,-,-,-
SSDH-PAMI,-,-,-,-,-,-,-,-,-,-,-,-
ITQ,-,-,-,-,-,-,-,-,-,-,-,-
SpH,-,-,-,-,-,-,-,-,-,-,-,-
MLH,-,-,-,-,-,-,-,-,-,-,-,-
 
prec@2
Approaches,CIFAR-10,-,-,-,NUS,-,-,-,MIR,-,-,-
 ,12,24,32,48,12,24,32,48,12,24,32,48
DSH_CVPR_2016_Caffe,0.7477,-,-,-,0.6126,-,-,-,-,-,-,-
SSDH-PAMI,-,-,-,-,-,-,-,-,-,-,-,-
ITQ,-,-,-,-,-,-,-,-,-,-,-,-
SpH,-,-,-,-,-,-,-,-,-,-,-,-
MLH,-,-,-,-,-,-,-,-,-,-,-,-
 
rec@2
Approaches,CIFAR-10,-,-,-,NUS,-,-,-,MIR,-,-,-
 ,12,24,32,48,12,24,32,48,12,24,32,48
DSH_CVPR_2016_Caffe,0.7391,-,-,-,0.4555,-,-,-,-,-,-,-
SSDH-PAMI,-,-,-,-,-,-,-,-,-,-,-,-
ITQ,-,-,-,-,-,-,-,-,-,-,-,-
SpH,-,-,-,-,-,-,-,-,-,-,-,-
MLH,-,-,-,-,-,-,-,-,-,-,-,-
 
numUniqueHashes
Approaches,CIFAR-10,-,-,-,NUS,-,-,-,MIR,-,-,-
 ,12,24,32,48,12,24,32,48,12,24,32,48
DSH_CVPR_2016_Caffe,1219.0,-,-,-,3477.0,-,-,-,-,-,-,-
SSDH-PAMI,-,-,-,-,-,-,-,-,-,-,-,-
ITQ,-,-,-,-,-,-,-,-,-,-,-,-
SpH,-,-,-,-,-,-,-,-,-,-,-,-
MLH,-,-,-,-,-,-,-,-,-,-,-,-
 
